Tweet,PositiveWord,NegativeWords,TotalPostive,TotalNegative,Polarity
rt ashfolarin the recommendation for the second dose of the astra zeneca vaccine is 8 12 weeks after the first dose if they start vaccin ,['recommendation'],nan,1,0,Positive
rt rheumnow news feature covid 19 related deaths in rheumatic disease patients there is a growing body of evidence regarding covid 19 o ,nan,nan,0,0,neutral
rt anthony klan hey oecd down here we are labouring under one of the most corrupt governments australia has seen almost certainly the m ,nan,['corrupt'],0,1,Negative
covid 19 vaccines cause enlarged lymph nodes that may be seen on imaging to allow time for swelling to decrease i ,nan,['swelling'],0,1,Negative
rt aoc this week in congress dems passed 1 9t covid package to deliver stimulus checks w dependents cut child poverty in half e ,nan,['poverty'],0,1,Negative
rt jim jordan president trump got us the covid19 vaccine president biden plagiarized it ,['trump'],nan,1,0,Positive
biden celebrates passage of covid aid bill in rose garden event via nbcnews,nan,nan,0,0,neutral
 deer540 my mom knows and everyone i live with interact with in a daily basis knows but this excludes the rest of ,nan,nan,0,0,neutral
 johncornyn omg you re a horse s ass he said enough vaccine will be available by may 1st available magaq ,"['enough', 'available']",nan,2,0,Positive
rt wendyrogersaz we have a virus state of emergency on our border the virus is getting in through the flood of illegals it is time for ,nan,"['virus', 'emergency']",0,2,Negative
rt epicenter nyc thank you to our tireless volunteers for their bots grit and hearts they threw themselves all in motivated by loss o ,"['thank', 'motivated']",nan,2,0,Positive
can t wait to be an adult in post covid times so i can spend 2 weeks planning dinner parties,nan,nan,0,0,neutral
 snow blacck too much chirping in the comment section,nan,nan,0,0,neutral
rt realdebfarmer the obama administration through darpa funded 150 million in research into the mrna technology used to develop vaccin ,nan,nan,0,0,neutral
by the way the difference between ue valentin and all non ue valentins is that non ue valentin has access to multip ,nan,nan,0,0,neutral
rt bryanbehar hannity says biden needs to thank trump for the vaccine should he also thank him for covid denial maskless behavior supe ,"['thank', 'trump']",nan,2,0,Positive
rt potus tonight i am announcing that i will direct all states tribes and territories to make all adult americans eligible for the vac ,nan,nan,0,0,neutral
new zealand jacinda ardern criticised over timing of auckland covid alert change ,nan,nan,0,0,neutral
rt joshtpm rt this story and you ll make it appreciably harder for trump and his toadies to keep lying about having a plan to vaccinate a ,nan,nan,1,1,neutral
rt isgoodrum china bolivia venezuela cuba and other global south countries support an ip waiver so generic covid vaccines can be mass ,['support'],nan,1,0,Positive
rt ukcolumn professionals raising questions about vaccine safety ,nan,nan,0,0,neutral
projected schedule from nytimes shows 70 vaccinated by july 7 and 90 by aug 22 with herd immunity reached at 7 ,nan,nan,0,0,neutral
rt joelpollak joebiden makes absolutely clear that there was never any potential for a bipartisan effort on covid relief and that ,"['clear', 'relief']",nan,2,0,Positive
rt trcfwtt gopleader bullshit operation warp speed was crawling he was 20 million doses behind and we still don t know what happened ,nan,"['bullshit', 'warp']",0,2,Negative
 irl tax expert president mu that s why all countries in the northern hemispheres graphs looks exactly the same lo ,nan,nan,0,0,neutral
rt nwslosangeles scattered showers and isolated t storms with brief heavy showers of rain and small hail with low elevation mountain snow ,nan,nan,1,1,neutral
rt gopchairwoman biden spent the majority of his speech last night misleading the american people on the vaccine it is only thanks to ,nan,['misleading'],0,1,Negative
rt benjaminp3ters artificial intelligence in predicting outcomes in covid 19 rmi dove medical press read more here ,['intelligence'],nan,1,0,Positive
rt jasonhickel here s a report wto fails to reach agreement is a nice euphemism for colonial power prevails at the wto ,nan,nan,1,1,neutral
why older people managed to stay happier through the pandemic ,['happier'],nan,1,0,Positive
rt yonkojohn in sudbury ontario starting last week they tripled covid testing and what do you know tripled the positives false positiv ,nan,nan,1,1,neutral
rt jasonhickel this is devastating news global south countries have been fighting for the right to manufacture and import affordable ve ,"['right', 'affordable']",nan,2,0,Positive
rt mediajernyc i asked my mom if she felt any side effects from her second vaccine shot today and she said an acute appreciation for sci ,nan,nan,0,0,neutral
rt ellie 00 you can register your phone number to 999 by just texting them register this means you can text the emergency services if ,nan,['emergency'],0,1,Negative
rt jamiewestndp people are upset small business owners are angry and frustrated and rightfully so i hear you and i m frustrated too ,nan,"['upset', 'angry', 'frustrated']",0,3,Negative
i can t get you off my mind now ,nan,nan,0,0,neutral
despite the lack of any vaccine delivery infrastructure in place on jan 20th the biden admin has been able to incr ,nan,['lack'],0,1,Negative
rt nygovcuomo i signed legislation granting public amp private employees leave to get the covid vaccine this law grants up to 4 hours of l ,nan,nan,0,0,neutral
rt insight long covid is a real issue that s increasingly sensationalized and turned almost into a type of moral panic i wrote a post on ,nan,"['issue', 'panic']",0,2,Negative
rt campbellclaret brexit disaster finally topping a news bulletin the liars and charlatans will try to pretend all economic problems are ,nan,"['disaster', 'liars', 'pretend', 'problems']",0,4,Negative
